days;spei
1929-08-16;-1.4712
1929-09-16;1.3498
1929-10-16;-0.33795
1929-11-16;0.88169
1929-12-16;-0.59609
1930-01-16;0.70961
1930-02-15;0.62171
1930-03-16;1.0892
1930-04-16;-1.4106
1930-05-16;0.67762
1930-06-16;-0.018659
1930-07-16;-1.2216
1930-08-16;-1.052
1930-09-16;-0.074307
1930-10-16;1.9529
1930-11-16;-0.81543
1930-12-16;0.83293
1931-01-16;-1.1066
1931-02-15;-0.44843
1931-03-16;0.081721
1931-04-16;-0.29053
1931-05-16;-0.60458
1931-06-16;0.50228
1931-07-16;-0.83924
1931-08-16;0.80311
1931-09-16;0.0048684
1931-10-16;-0.86521
1931-11-16;1.1936
1931-12-16;1.6472
1932-01-16;0.17325
1932-02-15;1.4819
1932-03-16;-0.19918
1932-04-16;0.97905
1932-05-16;0.12144
1932-06-16;-0.88752
1932-07-16;0.90582
1932-08-16;2.0119
1932-09-16;0.38776
1932-10-16;1.4811
1932-11-16;1.465
1932-12-16;0.13502
1933-01-16;0.17325
1933-02-15;-0.16289
1933-03-16;1.7439
1933-04-16;0.61635
1933-05-16;1.6087
1933-06-16;0.21746
1933-07-16;-0.16014
1933-08-16;1.65
1933-09-16;1.296
1933-10-16;1.6449
1933-11-16;0.096547
1933-12-16;1.0771
1934-01-16;1.9128
1934-02-15;0.62171
1934-03-16;-0.19918
1934-04-16;-0.20705
1934-05-16;0.75044
1934-06-16;0.2919
1934-07-16;0.69251
1934-08-16;-0.21129
1934-09-16;-1.841
1934-10-16;0.15273
1934-11-16;0.17799
1934-12-16;-0.85739
1935-01-16;1.6213
1935-02-15;0.62171
1935-03-16;0.38968
1935-04-16;-0.58571
1935-05-16;-1.3127
1935-06-16;0.46541
1935-07-16;0.022443
1935-08-16;0.31559
1935-09-16;-0.86497
1935-10-16;1.1135
1935-11-16;-1.1567
1935-12-16;-0.516
1936-01-16;-0.99231
1936-02-15;1.2317
1936-03-16;1.2444
1936-04-16;0.64084
1936-05-16;-0.41118
1936-06-16;1.186
1936-07-16;-1.7834
1936-08-16;-0.53611
1936-09-16;0.61758
1936-10-16;-0.91122
1936-11-16;1.2986
1936-12-16;0.13502
1937-01-16;0.17325
1937-02-15;0.29192
1937-03-16;1.6836
1937-04-16;1.6465
1937-05-16;-1.1465
1937-06-16;-1.0355
1937-07-16;0.19749
1937-08-16;-1.9542
1937-09-16;0.38776
1937-10-16;1.0806
1937-11-16;-1.4227
1937-12-16;0.56093
1938-01-16;-1.1066
1938-02-15;0.62171
1938-03-16;1.5073
1938-04-16;-0.34707
1938-05-16;-1.5264
1938-06-16;-0.88431
1938-07-16;-1.004
1938-08-16;0.95526
1938-09-16;1.1317
1938-10-16;-1.2621
1938-11-16;-0.60352
1938-12-16;0.49007
1939-01-16;0.17325
1939-02-15;0.62171
1939-03-16;0.97481
1939-04-16;0.35985
1939-05-16;-1.6752
1939-06-16;-0.035874
1939-07-16;0.41836
1939-08-16;1.7097
1939-09-16;-1.4871
1939-10-16;0.92584
1939-11-16;0.67386
1939-12-16;-0.24248
1940-01-16;0.17325
1940-02-15;0.62171
1940-03-16;-0.19918
1940-04-16;-0.29615
1940-05-16;0.68211
1940-06-16;0.87273
1940-07-16;0.69835
1940-08-16;0.40081
1940-09-16;-0.67987
1940-10-16;0.66054
1940-11-16;0.74619
1940-12-16;1.1778
1941-01-16;0.94098
1941-02-15;0.45961
1941-03-16;-0.57457
1941-04-16;0.54962
1941-05-16;-0.43344
1941-06-16;-0.10249
1941-07-16;0.095098
1941-08-16;-0.031882
1941-09-16;-0.088788
1941-10-16;0.10851
1941-11-16;-1.278
1941-12-16;1.6162
1942-01-16;-1.1066
1942-02-15;0.4925
1942-03-16;-0.76831
1942-04-16;0.83412
1942-05-16;0.4385
1942-06-16;1.7253
1942-07-16;0.84307
1942-08-16;-0.52439
1942-09-16;-1.625
1942-10-16;-0.76807
1942-11-16;-0.95986
1942-12-16;1.0062
1943-01-16;1.052
1943-02-15;0.62171
1943-03-16;0.62977
1943-04-16;0.09439
1943-05-16;1.5379
1943-06-16;-1.3202
1943-07-16;0.61776
1943-08-16;-1.8423
1943-09-16;-0.20056
